73021	8.33
73025	43.22
73043	53.44
73071	18.47
73079	3.17
73086	14.66
73090	37.33
73093	13.64
73099	12.00
73177	104.74
73191	4.21
73206	17.68
73210	4.13
73220	3.18
73337	2.70
73341	3.21
73354	11.91
73408	8.16
73411	1.48
73414	4.33
73544	2.56
73547	1.15
73550	4.45
73555	3.99
73560	2.99
73565	4.42
73574	1.84
73586	1.99
73731	8.43
73773	4.24
73774	7.49
73775	2.98
73823	67.81
73853	40.22
73880	5.96
73905	4.86
73934	14.48
73941	1.21
73954	4.56
73961	22.31
73981	24.84
73986	59.68
73990	11.17
74008	1.61
74238	1.28
74257	4.36
74263	6.15
74271	2.37
74277	0.40
74296	0.25
74299	0.67
74417	22.95
74435	58.40
74467	25.89
74484	3.41
74539	0.14
74546	5.85
74551	0.33
74554	0.60
74588	4.19
74591	0.31
74611	0.31
74620	2.26
74636	0.41
74639	11.35
74809	1.62
74965	0.17
74967	0.88
74969	0.10
74994	8.45
75030	0.76
75140	7.78
75142	3.12
75153	1.45
75244	33.30
75633	1.08
75634	34.55
75638	27.83
75643	17.73
75649	15.29
75650	4.90
75653	4.24
75656	4.65
75659	1.14
75666	12.91
75669	1.08
75670	1.68
75684	3.64
75690	7.10
75701	2.93
75703	0.50
75705	11.95
75714	1.66
75715	2.28
75716	0.90
75717	1.58
75732	0.56
75735	0.72
75736	1.70
75738	1.66
75755	1.64
75756	0.72
75765	0.52
75782	13.58
75783	1.08
75790	3.84
75791	0.91
75793	4.49
75801	1.83
75809	109.77
75810	1.54
75819	2.66
75823	0.73
75824	0.27
75827	3.10
75830	0.56
75833	4.49
75834	25.29
75839	2.35
75840	3.76
75849	1.71
75851	2.52
75861	13.43
75866	9.55
75868	14.63
75870	4.19
75891	12.07
75892	3.58
75903	2.82
75921	28.45
75922	2.31
75943	5.33
75956	2.26
75960	3.25
75963	9.15
75964	79.67
75965	1.29
75967	1.17
75969	1.32
75970	3.67
75974	1.78
75984	39.58
75993	2.81
76016	20.68
76017	3.95
76035	5.42
76071	5.29
76081	0.96
76088	7.25
76096	0.54
76106	0.30
76107	13.04
76116	0.04
76161	1.83
76162	3.10
76170	5.77
76171	6.35
76180	0.12
76181	7.35
76226	2.08
76227	0.25
76238	0.21
76293	11.52
76308	11.60
76325	8.21
76372	3.79
76373	12.81
76375	4.06
76411	31.80
76414	13.18
76419	91.66
76452	0.59
76544	0.89
76549	1.21
76555	1.12
76566	54.72
76567	20.02
76568	42.77
76608	0.46
76613	0.38
76765	1.04
78057	4.85
78110	12.91
78120	2.76
78124	13.91
78163	1.40
78169	5.06
78186	9.82
78198	8.77
78201	1.19
78232	12.26
78240	13.72
78241	14.01
78263	6.94
78272	5.42
78285	10.59
78286	10.29
78287	8.34
78288	10.28
78312	21.05
78328	8.68
78331	5.88
78349	13.40
78352	21.39
78382	5.59
78384	13.20
78443	11.95
78451	11.36
78462	0.75
78471	1.56
78495	0.73
78498	37.76
78519	8.57
78521	2.03
78525	0.23
78537	2.11
78541	4.54
78544	7.16
78572	7.22
78582	1.12
78603	2.05
78615	2.49
78643	1.87
78653	24.33
78654	12.61
78660	0.40
78673	8.56
78680	80.88
78683	4.20
78689	39.04
78705	93.78
78733	114.89
78773	57.74
78843	2.49
78886	1.90
78892	1.92
78893	7.99
78894	2.44
78978	0.25
78988	5.27
79007	5.85
79035	2.89
79054	5.02
79055	4.27
79058	2.04
79064	17.13
79068	6.39
79097	37.76
79098	2.62
79104	9.28
79114	15.72
79130	17.73
79291	8.48
79293	6.65
79382	45.60
79392	1.34
79397	7.60
79403	3.92
79407	0.24
79409	1.60
79412	2.55
79418	5.83
79426	2.99
79430	21.16
79461	4.78
79464	32.49
79466	57.91
79558	0.56
79567	0.10
79835	3.95
79893	10.04
79894	3.25
79901	8.85
79912	10.01
79913	9.84
79928	11.38
81752	3.90
81754	3.23
81762	2.86
81773	12.70
81776	0.46
81783	7.43
81786	3.39
81789	4.98
81795	9.69
81832	1.69
81847	6.44
81848	3.41
81860	2.43
81868	2.56
81870	0.67
81871	1.67
81888	18.76
81912	19.10
81918	0.56
81938	0.93
81940	6.52
81943	4.52
81946	1.02
81961	12.98
81974	7.85
81976	2.01
81985	6.04
81995	19.32
82000	26.44
82007	2.34
82035	1.45
82058	7.12
82059	2.77
82089	51.55
82135	1.03
82182	24.65
82215	7.15
82226	23.45
82230	70.09
82234	90.59
82260	13.73
82273	3.41
82281	0.66
82295	7.80
82298	14.86
82321	15.23
82335	4.14
82345	92.45
82346	33.58
82357	4.73
82389	1.10
82399	3.02
82409	11.69
82464	0.56
82521	14.02
82522	17.15
82531	1.87
82532	13.45
82536	6.30
82552	77.45
82558	10.89
82559	0.17
82565	2.36
82584	1.57
82595	79.18
82622	0.04
82647	5.58
82668	33.48
82672	9.69
82698	0.95
82717	12.06
82719	8.62
82754	10.96
82755	11.88
82779	11.98
83191	6.07
83193	8.60
83198	6.90
83209	0.12
83210	0.08
83257	26.50
83290	2.38
83674	7.64
83683	1.90
83685	0.50
83690	7.18
83691	0.80
83703	2.31
83736	62.62
83751	34.98
83753	5.54
83768	31.12
83784	1.14
83799	0.70
83811	2.55
83843	5.15
83844	6.51
83853	2.31
83866	7.28
83894	3.52
83930	9.14
83960	11.78
83962	15.58
83964	33.89
83965	53.60
83969	25.07
83974	4.14
83975	5.59
83979	30.92
83989	54.07
84002	0.28
